"","date","confirmed","recovered","deaths","country_code","StringencyIndex","StringencyIndexForDisplay","since_first"
"1",2020-02-24,1,0,0,"AFG",0,0,1
"2",2020-02-25,0,0,0,"AFG",0,0,2
"3",2020-02-26,0,0,0,"AFG",0,0,3
"4",2020-02-27,0,0,0,"AFG",0,0,4
"5",2020-02-28,0,0,0,"AFG",0,0,5
"6",2020-02-29,0,0,0,"AFG",0,0,6
"7",2020-03-01,0,0,0,"AFG",23.81,23.81,7
"8",2020-03-02,0,0,0,"AFG",28.57,28.57,8
"9",2020-03-03,0,0,0,"AFG",28.57,28.57,9
"10",2020-03-04,0,0,0,"AFG",28.57,28.57,10
"11",2020-03-05,0,0,0,"AFG",28.57,28.57,11
"12",2020-03-06,0,0,0,"AFG",28.57,28.57,12
"13",2020-03-07,0,0,0,"AFG",28.57,28.57,13
"14",2020-03-08,3,0,0,"AFG",28.57,28.57,14
"15",2020-03-09,0,0,0,"AFG",28.57,28.57,15
"16",2020-03-10,1,0,0,"AFG",28.57,28.57,16
"17",2020-03-11,2,0,0,"AFG",28.57,28.57,17
"18",2020-03-12,0,0,0,"AFG",28.57,28.57,18
"19",2020-03-13,0,0,0,"AFG",28.57,28.57,19
"20",2020-03-14,4,0,0,"AFG",42.86,42.86,20
"21",2020-03-15,5,0,0,"AFG",42.86,42.86,21
"22",2020-03-16,5,1,0,"AFG",42.86,42.86,22
"23",2020-03-17,1,0,0,"AFG",42.86,42.86,23
"24",2020-03-18,0,0,0,"AFG",42.86,42.86,24
"25",2020-03-19,0,0,0,"AFG",42.86,42.86,25
"26",2020-03-20,2,0,0,"AFG",42.86,42.86,26
"27",2020-03-21,0,0,0,"AFG",42.86,42.86,27
"28",2020-03-22,16,0,1,"AFG",42.86,42.86,28
"29",2020-03-23,0,0,0,"AFG",42.86,42.86,29
"30",2020-03-24,34,0,0,"AFG",52.38,52.38,30
"31",2020-03-25,10,1,1,"AFG",52.38,52.38,31
"32",2020-03-26,10,0,2,"AFG",61.9,61.9,32
"33",2020-03-27,16,0,0,"AFG",71.43,71.43,33
"34",2020-03-28,0,0,0,"AFG",71.43,71.43,34
"35",2020-03-29,10,0,0,"AFG",71.43,71.43,35
"36",2020-03-30,50,0,0,"AFG",71.43,71.43,36
"37",2020-03-31,4,3,0,"AFG",71.43,71.43,37
"38",2020-04-01,63,0,0,"AFG",71.43,71.43,38
"39",2020-04-02,36,5,2,"AFG",71.43,71.43,39
"40",2020-04-03,8,0,0,"AFG",71.43,71.43,40
"41",2020-04-04,18,0,1,"AFG",71.43,71.43,41
"42",2020-04-05,50,5,0,"AFG",71.43,71.43,42
"43",2020-04-06,18,3,4,"AFG",71.43,71.43,43
"44",2020-04-07,56,0,3,"AFG",71.43,71.43,44
"45",2020-04-08,21,11,0,"AFG",71.43,71.43,45
"46",2020-04-09,40,3,1,"AFG",71.43,71.43,46
"47",2020-04-10,37,0,0,"AFG",71.43,71.43,47
"48",2020-04-11,34,0,3,"AFG",71.43,71.43,48
"49",2020-04-12,52,0,0,"AFG",71.43,71.43,49
"50",2020-04-13,58,0,3,"AFG",71.43,71.43,50
"51",2020-04-14,49,8,2,"AFG",71.43,71.43,51
"52",2020-04-15,70,3,2,"AFG",71.43,71.43,52
"53",2020-04-16,56,11,5,"AFG",71.43,71.43,53
"54",2020-04-17,66,45,0,"AFG",71.43,71.43,54
"55",2020-03-09,2,0,0,"ALB",25.5114285714286,25.5114285714286,1
"56",2020-03-10,8,0,0,"ALB",29.5922857142857,29.5922857142857,2
"57",2020-03-11,2,0,1,"ALB",34.7628571428571,34.7628571428571,3
"58",2020-03-12,11,0,0,"ALB",44.5582857142857,44.5582857142857,4
"59",2020-03-13,10,0,0,"ALB",50.5448571428571,50.5448571428571,5
"60",2020-03-14,5,0,0,"ALB",52.5854285714286,52.5854285714286,6
"61",2020-03-15,4,0,0,"ALB",54.7625714285714,54.7625714285714,7
"62",2020-03-16,9,0,0,"ALB",62.8966666666667,62.8966666666667,8
"63",2020-03-17,4,0,0,"ALB",66.8652777777778,66.8652777777778,9
"64",2020-03-18,4,0,1,"ALB",70.1713888888889,70.1713888888889,10
"65",2020-03-19,5,0,0,"ALB",72.1558333333333,72.1558333333333,11
"66",2020-03-20,6,0,0,"ALB",73.3463888888889,73.3463888888889,12
"67",2020-03-21,6,2,0,"ALB",75.3308333333333,75.3308333333333,13
"68",2020-03-22,13,0,0,"ALB",76.1244444444444,76.1244444444444,14
"69",2020-03-23,15,0,2,"ALB",78.2408333333333,78.2408333333333,15
"70",2020-03-24,19,8,1,"ALB",79.8938888888889,79.8938888888889,16
"71",2020-03-25,23,7,0,"ALB",81.0841666666667,81.0841666666667,17
"72",2020-03-26,28,0,1,"ALB",81.0841666666667,81.0841666666667,18
