,date,country,confirmed,recovered,deaths,country_code
0,1/22/20,Afghanistan,0.0,0.0,0.0,AFG
1,1/23/20,Afghanistan,0.0,0.0,0.0,AFG
2,1/24/20,Afghanistan,0.0,0.0,0.0,AFG
3,1/25/20,Afghanistan,0.0,0.0,0.0,AFG
4,1/26/20,Afghanistan,0.0,0.0,0.0,AFG
5,1/27/20,Afghanistan,0.0,0.0,0.0,AFG
6,1/28/20,Afghanistan,0.0,0.0,0.0,AFG
7,1/29/20,Afghanistan,0.0,0.0,0.0,AFG
8,1/30/20,Afghanistan,0.0,0.0,0.0,AFG
9,1/31/20,Afghanistan,0.0,0.0,0.0,AFG
10,2/1/20,Afghanistan,0.0,0.0,0.0,AFG
11,2/2/20,Afghanistan,0.0,0.0,0.0,AFG
12,2/3/20,Afghanistan,0.0,0.0,0.0,AFG
13,2/4/20,Afghanistan,0.0,0.0,0.0,AFG
14,2/5/20,Afghanistan,0.0,0.0,0.0,AFG
15,2/6/20,Afghanistan,0.0,0.0,0.0,AFG
16,2/7/20,Afghanistan,0.0,0.0,0.0,AFG
17,2/8/20,Afghanistan,0.0,0.0,0.0,AFG
18,2/9/20,Afghanistan,0.0,0.0,0.0,AFG
19,2/10/20,Afghanistan,0.0,0.0,0.0,AFG
20,2/11/20,Afghanistan,0.0,0.0,0.0,AFG
21,2/12/20,Afghanistan,0.0,0.0,0.0,AFG
22,2/13/20,Afghanistan,0.0,0.0,0.0,AFG
23,2/14/20,Afghanistan,0.0,0.0,0.0,AFG
24,2/15/20,Afghanistan,0.0,0.0,0.0,AFG
25,2/16/20,Afghanistan,0.0,0.0,0.0,AFG
26,2/17/20,Afghanistan,0.0,0.0,0.0,AFG
27,2/18/20,Afghanistan,0.0,0.0,0.0,AFG
28,2/19/20,Afghanistan,0.0,0.0,0.0,AFG
29,2/20/20,Afghanistan,0.0,0.0,0.0,AFG
30,2/21/20,Afghanistan,0.0,0.0,0.0,AFG
31,2/22/20,Afghanistan,0.0,0.0,0.0,AFG
32,2/23/20,Afghanistan,0.0,0.0,0.0,AFG
33,2/24/20,Afghanistan,1.0,0.0,0.0,AFG
34,2/25/20,Afghanistan,0.0,0.0,0.0,AFG
35,2/26/20,Afghanistan,0.0,0.0,0.0,AFG
36,2/27/20,Afghanistan,0.0,0.0,0.0,AFG
37,2/28/20,Afghanistan,0.0,0.0,0.0,AFG
38,2/29/20,Afghanistan,0.0,0.0,0.0,AFG
39,3/1/20,Afghanistan,0.0,0.0,0.0,AFG
40,3/2/20,Afghanistan,0.0,0.0,0.0,AFG
41,3/3/20,Afghanistan,0.0,0.0,0.0,AFG
42,3/4/20,Afghanistan,0.0,0.0,0.0,AFG
43,3/5/20,Afghanistan,0.0,0.0,0.0,AFG
44,3/6/20,Afghanistan,0.0,0.0,0.0,AFG
45,3/7/20,Afghanistan,0.0,0.0,0.0,AFG
46,3/8/20,Afghanistan,3.0,0.0,0.0,AFG
47,3/9/20,Afghanistan,0.0,0.0,0.0,AFG
48,3/10/20,Afghanistan,1.0,0.0,0.0,AFG
49,3/11/20,Afghanistan,2.0,0.0,0.0,AFG
50,3/12/20,Afghanistan,0.0,0.0,0.0,AFG
51,3/13/20,Afghanistan,0.0,0.0,0.0,AFG
52,3/14/20,Afghanistan,4.0,0.0,0.0,AFG
