date,country,confirmed,recovered,deaths,country_code,S1_School closing,S1_IsGeneral,S2_Workplace closing,S2_IsGeneral,S3_Cancel public events,S3_IsGeneral,S4_Close public transport,S4_IsGeneral,S5_Public information campaigns,S5_IsGeneral,S6_Restrictions on internal movement,S6_IsGeneral,S7_International travel controls,S8_Fiscal measures,S9_Monetary measures,S10_Emergency investment in health care,S11_Investment in Vaccines,S12_Testing framework,S13_Contact tracing,StringencyIndex,StringencyIndexForDisplay,pct_positive,test_by_million
2020-01-22,Afghanistan,0.0,0.0,0.0,AFG,0.0,1.0,0.0,,0.0,1.0,0.0,,0.0,1.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,
2020-01-23,Afghanistan,0.0,0.0,0.0,AFG,0.0,1.0,0.0,,0.0,1.0,0.0,,0.0,1.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,
2020-01-24,Afghanistan,0.0,0.0,0.0,AFG,0.0,1.0,0.0,,0.0,1.0,0.0,,0.0,1.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,
2020-01-25,Afghanistan,0.0,0.0,0.0,AFG,0.0,1.0,0.0,,0.0,1.0,0.0,,0.0,1.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,
2020-01-26,Afghanistan,0.0,0.0,0.0,AFG,0.0,1.0,0.0,,0.0,1.0,0.0,,0.0,1.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,
2020-01-27,Afghanistan,0.0,0.0,0.0,AFG,0.0,1.0,0.0,,0.0,1.0,0.0,,0.0,1.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,
2020-01-28,Afghanistan,0.0,0.0,0.0,AFG,0.0,1.0,0.0,,0.0,1.0,0.0,,0.0,1.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,
2020-01-29,Afghanistan,0.0,0.0,0.0,AFG,0.0,1.0,0.0,,0.0,1.0,0.0,,0.0,1.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,
2020-01-30,Afghanistan,0.0,0.0,0.0,AFG,0.0,1.0,0.0,,0.0,1.0,0.0,,0.0,1.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,
2020-01-31,Afghanistan,0.0,0.0,0.0,AFG,0.0,1.0,0.0,,0.0,1.0,0.0,,0.0,1.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,
