"date","confirmed","recovered","deaths","country_code","StringencyIndex","StringencyIndexForDisplay","cum_cases","cum_recovered","cum_deaths","since_first"
2020-02-24,1,0,0,"AFG",0,0,1,0,0,0
2020-02-25,0,0,0,"AFG",0,0,1,0,0,1
2020-02-26,0,0,0,"AFG",0,0,1,0,0,2
2020-02-27,0,0,0,"AFG",0,0,1,0,0,3
2020-02-28,0,0,0,"AFG",0,0,1,0,0,4
2020-02-29,0,0,0,"AFG",0,0,1,0,0,5
2020-03-01,0,0,0,"AFG",23.81,23.81,1,0,0,6
2020-03-02,0,0,0,"AFG",28.57,28.57,1,0,0,7
2020-03-03,0,0,0,"AFG",28.57,28.57,1,0,0,8
2020-03-04,0,0,0,"AFG",28.57,28.57,1,0,0,9
2020-03-05,0,0,0,"AFG",28.57,28.57,1,0,0,10
2020-03-06,0,0,0,"AFG",28.57,28.57,1,0,0,11
2020-03-07,0,0,0,"AFG",28.57,28.57,1,0,0,12
2020-03-08,3,0,0,"AFG",28.57,28.57,4,0,0,13
2020-03-09,0,0,0,"AFG",28.57,28.57,4,0,0,14
2020-03-10,1,0,0,"AFG",28.57,28.57,5,0,0,15
2020-03-11,2,0,0,"AFG",28.57,28.57,7,0,0,16
2020-03-12,0,0,0,"AFG",28.57,28.57,7,0,0,17
2020-03-13,0,0,0,"AFG",28.57,28.57,7,0,0,18
2020-03-14,4,0,0,"AFG",42.86,42.86,11,0,0,19
2020-03-15,5,0,0,"AFG",42.86,42.86,16,0,0,20
2020-03-16,5,1,0,"AFG",42.86,42.86,21,1,0,21
2020-03-17,1,0,0,"AFG",42.86,42.86,22,1,0,22
2020-03-18,0,0,0,"AFG",42.86,42.86,22,1,0,23
2020-03-19,0,0,0,"AFG",42.86,42.86,22,1,0,24
2020-03-20,2,0,0,"AFG",42.86,42.86,24,1,0,25
2020-03-21,0,0,0,"AFG",42.86,42.86,24,1,0,26
2020-03-22,16,0,1,"AFG",42.86,42.86,40,1,1,27
2020-03-23,0,0,0,"AFG",42.86,42.86,40,1,1,28
2020-03-24,34,0,0,"AFG",52.38,52.38,74,1,1,29
2020-03-25,10,1,1,"AFG",52.38,52.38,84,2,2,30
2020-03-26,10,0,2,"AFG",61.9,61.9,94,2,4,31
2020-03-27,16,0,0,"AFG",71.43,71.43,110,2,4,32
2020-03-28,0,0,0,"AFG",71.43,71.43,110,2,4,33
2020-03-29,10,0,0,"AFG",71.43,71.43,120,2,4,34
2020-03-30,50,0,0,"AFG",71.43,71.43,170,2,4,35
2020-03-31,4,3,0,"AFG",71.43,71.43,174,5,4,36
2020-04-01,63,0,0,"AFG",71.43,71.43,237,5,4,37
2020-04-02,36,5,2,"AFG",71.43,71.43,273,10,6,38
2020-04-03,8,0,0,"AFG",71.43,71.43,281,10,6,39
2020-04-04,18,0,1,"AFG",71.43,71.43,299,10,7,40
2020-04-05,50,5,0,"AFG",71.43,71.43,349,15,7,41
2020-04-06,18,3,4,"AFG",71.43,71.43,367,18,11,42
2020-04-07,56,0,3,"AFG",71.43,71.43,423,18,14,43
2020-04-08,21,11,0,"AFG",71.43,71.43,444,29,14,44
